verb,sentence
обезвредить,Крутой Уокер обезвредил банду контрабандистов и фальшивомонетчиков.
обезвредить,"― Я не только выправил документ, я его фактически обезвредил, так что в нём не осталось его ядовитых жал."
обезвредить,"Вы написали про меня: ""Составил нацистскую декларацию, довёдшую моего отца до самоубийства"", ― а я отвечаю: нет, ничего я не составлял, наоборот, настолько обезвредил декларацию, написанную в стенах института, что её и печатать-то не стали."
обезвредить,Однако на этот раз спецслужбы обезвредили взрывные устройства и сразу ввели режим КТО.
обезвредить,На автовокзале оперативные службы обезвредили «взрывное устройство».
обезвредить,"Выбиты же они были на мраморе «террористами», которых британское правительство обезвредило и посадило. "
обезвредить,"21 ноября сотрудники Главного управления охраны обезвредили две такие же мины, которые террористы оставили на АЗС, расположенной рядом с правительственной трассой ― Кутузовским проспектом."
обезвредить,Самодельное устройство саперы обезвредили на месте.
обезвредить,Группа немедленного реагирования застала налетчиков врасплох и обезвредила. 
обезвредить,"Открытие нейтрона, позитрона и утверждение нейтрино вместе с теорией Ферми ― все это обезвредило основные парадоксы ядерной физики. "
обезвредить,"Знаменитый двойной агент Олдрич Эймс, работавший на СССР в годы холодной войны (это он обезвредил информацию Юрченко, выдал Советам Гордиевского, Моторина и Мартынова и свалил все это на Полларда), легко прошел проверку на детекторе лжи и продолжал шпионить, пока не был раскрыт другими методами. "
обезвредить,"Удалось вовремя вызвать турок, которые обезвредили ее минут за двадцать до намеченного взрыва. "
обезвредить,"Прибывшие спасатели быстро обезвредили пса, накинув ему на пасть веревочную петлю и накрепко привязав его к перилам лестницы."
обезвредить,"Гаишники обезвредили 240 выпивох (читатели могут ознакомиться только с тем списком водителей, который нам предоставила областная ГИБДД). "
обезвредить,") Но майор мне ответил, что у страха глаза велики и милиция, как всегда, преувеличивает, и что он в такой ситуации обезвредил сотни мин и т. "
обезвредить,"Няня, оставшаяся ночевать, обезвредила трехлетнее существо, увещеваниями и уговорами протащив его мимо моей комнаты на кухню и в прихожую, и, когда я наконец открыла глаза, квартира была тихой и пустой. "
обезвредить,"Вызванные на место взрывотехники обезвредили бомбу и высказали предположение: судя по устройству, в действие ее должен был привести террорист-смертник. "
обезвредить,"В этот же день саперы обезвредили 3 фугаса – один у автостоянки в селе Новая Жизнь Курчалоевского района Чечни, другой – у села Киров-Юрт Веденского района и третий – на трассе вблизи села Вашиндарой Шатойского района. "
обезвредить,"Взбесившегося охотника обезвредил третий гаишник, Сергей Лебедев. "
обезвредить,"Несколько раз их агенты проникали в Мавзолей с канистрами бензина, желая поджечь саркофаг, но охрана их обезвредила. "
вразумить," ― Не бойся, не бойся, ― вразумила Данилу молодая жена, ― не украдено всё это, разбоем не добыто. "
вразумить,"Если в первый же вечер по прибытии в Бостон наш тамошний приятель вразумил нас со знанием дела: «Учтите, в целом это честная страна», ― то пятнадцать лет спустя, в эпоху Клинтона, такое мог сказать лишь комик да умалишенный… На Пасху 99-го года началась агрессия против Сербии, которая расставила все точки над «i»."
вразумить,"Надеюсь, Федор вразумит вас и удалит эту ерунду."
вразумить,"Валялся в прахе Степан Никанорович и жарко молился Богу о том, чтобы Он, всемогущий, смирил и вразумил заблудшего отрока… "
вразумить,"Тогда девушка стала молиться Богу, чтобы он вразумил ее, в чем же дело."
вразумить,"Поступи с нами так, как тебя Бог вразумит!"
вразумить,Не вразумили Бориса приказы командира части о дисциплинарных взысканиях. 
вразумить,Тетушка с мамой вразумили Ивана. 
вразумить,"Его не вразумила даже Хрустальная ночь 9 ноября 1938 года ― волна еврейских погромов, организованных нацистами в ответ на убийство в Париже 17-летним еврейским беженцем Гершелем Гриншпаном секретаря немецкого посольства Эрнста фон Рата."
вразумить,"Сознание преступников недостаточно рационально, чтобы от одного сообщения о подписании президентом нового закона они немедля стали брать в расчет возможность вооруженного отпора ― их вразумят только примеры такого отпора."
вразумить,"Все понимали, что Наставник не продолжит прерванного урока, пока не вразумит драчунов. "
вразумить,Гибель матери сына не вразумила.
вразумить,"Очень многих вразумило его разоблачение антицерковной деятельности епископа Григория (Янковского), которого Владыка Димитрий очень хорошо знал лично: тот некогда был его соучеником в Киевской Духовной академии."
вразумить," «Уходите поскорей ― другого способа нет», ― вразумила я его, но он и сам это отлично понимал: "
вразумить,"Когда я завел однажды речь о карте Берлина, так нужной нам, Алеша тихо вразумил меня: «Карта не понадобится."
вразумить,"Бог даст, она тебя вразумит…"
вразумить,"― Если кто в газете начнет шебуршиться, Гриша, скажи, мои парни вразумят."
вразумить,Но Михаил Эдишерыч его вразумил… 
вразумить,"Рита нуждается в нем, и, может быть, хотя бы это вразумит его и научит, как жить дальше."
вразумить,"Поэтому если он мне не нравится, я должен молиться, чтобы Бог меня вразумил, чтобы мне исправиться в отношении к нему, но пренебречь, переступить через него я уже не имею права, потому что хотя это, может быть, и не противно моей совести (совесть свою я грехами уже давно сжег), но это противно Евангелию."
ладить,"Мы с ними ладили, только пока были совсем бедные."
ладить,Но мы отлично ладили.
ладить,С корпусным командиром Бенкендорф ладил.
ладить,"Тем не менее они с Ритой отлично ладили, охотно встречались, когда позволяло время."
ладить,"Был у нас такой парень, Семка Шейдлин, хохмач, балагур, в общем, трепач, но безвредный, со всеми ладил, со всеми дружил, особенно с моим братом Левой, когда тот был секретарём укома комсомола, состоял, так сказать, при Лёве, во всем ему поддакивал, умел вставить острое словцо ― Лёве это нравилось, и он ему покровительствовал."
ладить,"С такими бригадирами он бы ладил, ему б и хлопот ни о чём: горбить не требуют, пайка высокая, живёт в кабине отдельной ― чего ещё?"
ладить,Иван Никифорович с Петенькой не ладил и потому спервоначалу хотел двух его протеже выставить из квартиры безо всяких объяснений.
ладить,"― Говорят, вы с главой местной администрации не ладите."
ладить,Автор коллекции не ладил с хронологией.
ладить,"― Она хорошая девочка, мы с ней ладим."
ладить,"Но даже до паралича бабушка была для Старухи «бабушкой», то есть матерью Старухиной матери, с которой Старуха, надо сказать, не ладила, отчего рано покинула отчий дом ― не для самостоятельной жизни и не ради мужчины или женщины, а для бабушки и для жизни с бабушкой, к которой Старуха с детства влеклась и тянулась, в ее старом, царской еще архитектуры, коммунальном доме в переулке, прямиком выходившем к скверу, разбитому вокруг бассейна «Москва»."
ладить,"На протяжении многих десятилетий правители Фив ладили с гиксосскими царями, мирно уживались с ними, пока около 1530 года до новой эры очередной фиванский правитель Камос, вопреки советам придворных, не решил положить конец этому перемирию и не начал свою «реконкисту», устремившись войной на Аварис ― на царя Апопи. "
ладить,"Продолжу далее без читателя, для одних безропотных и благодушных мертвецов, с которыми я всегда неплохо ладил и, даже если бы не мог и не хотел надеяться, но для выживанья надеяться вынужден, ― не испорчу с ними духа добрососедских отношений благодаря этому взбалмошному и явно антипокойницкому рассказу, а на деле ― жутко и жгуче типичному мертворассказу."
ладить,"Однако монахи не ладили со своим архимандритом, которого Логгин называл «неучёным сельским попом»."
ладить,"Количество гломалина повышается, если поле лежит под паром, если после сбора урожая его не перепахивают, если, наконец, его засевают только теми растениями, которые ладят с подземной грибницей."
ладить,С Хашемом мы ладили лучше всех.
ладить,"Карина ладила с женщинами, даже с теми, с которыми ладить было решительно невозможно."
ладить,"Дети, как ни странно, друг с другом хорошо ладили."
ладить,"Тогда Андрей Александрович начинает читать какую-нибудь свою загадочную повесть о брате Юнипере, или я пускаюсь играть с маленькой внучкой Белецких ― прелестной Леночкой ― с детьми я очень хорошо ладила, и они меня любили."
ладить,"Леночка и с собаками ладит (собак целое семейство, и в каждом поколении обязательно Малышка, да еще предерзкая). "
подобать," А фундаментальному объекту подобает фундаментальный архетип: ""Образ триединого Бога есть сферическая поверхность, а именно: Бог-Отец в центре, Бог-Сын ― на поверхности и Святой Дух ― в симметричном отношении между центром и описанной вокруг него сферической поверхностью"". "
подобать,"Она сама иронизировала на этот счёт: ""Такое долголетие не подобает добропорядочной жене""."
подобать,"Об этом свидетельствует и пример другого чуда природы ― реки Янцзы, которой тоже подобает эпитет «величайшая»."
подобать,"Валера чуть замешкался ― никак не мог соорудить подобающего выражения лица, потому что не понимал, какое подобает."
подобать,"Она просто не хотела понимать, что такой внешний вид просто не подобает юристу, ну кто пойдет к адвокату с ирокезом на голове?!"
подобать,Вилки и ножи ему тоже не подобали.
подобать,"«Между тем имперской литературе, какой и надлежит быть русской литературе, ― отвечает он, ― подобает тяготеть к иноприродности, инаковости своих проявлений»."
подобать,"И Гуссерль тоже сразу же фиксирует здесь аналогичный вывод, сопровождая его краткими, но потенциально весьма насыщенными для феноменологии непрямого говорения комментариями: «Говоря же точнее, прямое выражение, если только оно верно и полно по составу, подобало бы лишь доксически немодализированным переживаниям (т. е."
подобать,"Такое голое, обнаженное мясо подобает видеть на природе, при свете костра, когда ты сам убил, забил, затравил зверя, ― только тогда кровавый, беззащитный, лишенный шерсти и шкуры вид мяса хоть как-то оправдан."
подобать,"«Не только, кстати говоря, о Иерусалиме, но о любом городе (civitas gentium), например Тире или Вавилоне или каком-нибудь другом, в Священном Писании говорится нечто такое, что превосходит его размер и скорее подходит всем народам, но и об Иудее, Египте, Ассирии и о каком-либо ином народе, где много городов, однако не весь мир, но часть его, говорится, что они превзошли размеры его, и это подобает скорее универсуму, нежели его части, или роду, нежели его виду» (col."
подобать,"Мне подобала и прямота, и доля здорового цинизма."
подобать,"Творение это было кощунством, поскольку запутывать и ошеломлять подобает лишь Богу, но не людям."
подобать,"Мы смотрим на них из другого века, и вот уже прорисовываются их судьбы во времени и те масштабы, которые подобает прилагать при их сопоставлении. "
подобать,Такие храмы подобают вольному городу. 
подобать,"Императору подобает верховное попечение о церквах и забота о спасении подданных, он ― блюститель канонов и Божественных законов (7)."
подобать,"Честь еще большая им подобает, если они предвидят (а ведь многие предвидят), что под конец возникнет Эфиастис и что мидийцы обойдут их все же."
подобать,"Тут уж делать что-то «немарксистское», считал он, совсем не подобает ― на него смотрели вся партия, весь мир."
подобать,"Вероятно, любая речь только роняла его в собственных глазах: власти подобала важность."
подобать,"Как настоящий представитель нашего неискоренимого язычества, я купил себе все, что и подобает туристу."
подобать,"Литературоведению подобает скромность: оно литературе служит, литературоведческая речь это косвенная речь по определению; и именно как таковая она имеет свои особые возможности в мире мысли (и, очевидно, в этом ее характере заключается также ее особая этика)."
карать,Ведь органы не только лишь карают
карать,"Роскомнадзор следует духу закона: не карает сразу, а дает возможность исправить ошибки."
карать,Татарские ханы предотвращали это и карали тех разбойников
карать,"Партия не карает, партия воспитывает."
карать,"Дело шло о законе XIV века, который карал лиц, заглядывающих с улицы в чужие окна."
карать,Государство искало и карало беглецов.
карать,Его учение Господь разбил на тысячи сект; он карал и будет карать отступников православной церкви до скончания века!»
карать,"Ты любишь покорных, а мы были горды, за это ты караешь нас, небо!"
карать,"Зря, что ли, УК СССР карал за самогоноварение?"
карать,"В финале появляется смерть и карает Максимилиана, так же, как в вертепной драме она карает царя Ирода за избиение младенцев."
карать,"Первые годы он карал ленивых, кровь, неумолимость, и получилось: три человека с курса вытянули на пятерку, восемь человек знают на «хорошо», остальные ― три балла."
карать,"Те же судьи, которые спокойно взирали на вопиющие проявления сегрегации, сегодня строго карают даже самые слабые проявления расовой некорректности."
карать,"Вот послушай: «Глубокая скорбь за участь друга гнетет Гефеста, но не смеет он ослушаться отца, зная, как неумолимо карает громовержец Зевс любое неповиновение."
карать,За противодействие семитизму (даже за анекдот) силовые структуры страны карали тюрьмой и даже расстрелом.
карать,"Мощные неземные силы проявляют себя, чтобы ввергнуть в ад маленьких людишек, виновных в обычных человеческих грехах… Парадокс: Зло карает зло. Уж не потому ли, что Добру эта задача не под силу?"
карать,"Если раньше сотрудники ГИБДД карали пьяниц лишением прав, то сегодня эта мера применяется крайне редко."
карать,"Между тем некоторые вузы, отряжая студентов для проведения переписи под угрозой отчисления, в то же время карают их за непосещение занятий в эти дни."
карать,"Такие словечки, конечно, даже ночью шепотом в колодец не произносились (а Господь, видать, и впрямь карает за мысли), но сейчас уж можно было сбросить покрывальце хорошего тона."
карать,"Рано или поздно, когда народятся, ты узнаешь, как карает Господь ― через детей."
карать,"Теперь актер играл сластолюбца, которого небо карало за эти грехи."
карать,Продолжать свои «подвиги» он не может ― революция карает таких жестоко.
предотвратить,"Прививка предотвратила 3 случая CIN 1-3 в одной группе, и 7 случаев в другой."
предотвратить,"Значит, мы как женсовет предотвратили не только ссоры в семье, а может быть, даже и развод."
предотвратить,"Надеюсь, мой печальный опыт предотвратит многие возможные трагедии."
предотвратить,"Тогда только счастливая случайность предотвратила беду, подобную той, что случилась с командой японского «Счастливого дракона» в марте 1954 года."
предотвратить,"В результате и врач и пациент осознали опасность и предотвратили исход, к которому неминуемо привела бы болезнь."
предотвратить,"В дальнейшем часто поливать огород не потребуется: двойное укрытие предотвратит бесцельное испарение влаги, а затяжные доходи не превратят его в болото."
предотвратить,"Я знаю людей, которые предотвратили взрывы благодаря личному мастерству и существующей в военном производстве жесткой дисциплине."
предотвратить,"Активная экономическая политика не только предотвратит сползание в рецессию, но и сделает Россию притягательной для стран-партнеров."
предотвратить,"Главный пафос пропагандистской продукции состоял в том, что своими действиями советская армия предотвратила угрозу новой мировой войны и фашистского реванша."
предотвратить,"К нашему горю и сраму, лишь казнь немногих предотвратит моря крови."
предотвратить,Только смерть киевского князя предотвратила военное столкновение между сыном и отцом.
предотвратить,"Шесть, максимум десять месяцев терпения, и победа в войне предотвратила бы Октябрьскую революцию."
